iter	RMSE
0	0.3508105604
1	0.3408943725
2	0.331821984
3	0.3232532599
4	0.3154136682
5	0.3073134668
6	0.2997927412
7	0.2928760578
8	0.286577618
9	0.2805221425
10	0.2745583221
11	0.2687833455
12	0.263911672
13	0.258886313
14	0.2541719479
15	0.2497333695
16	0.245666642
17	0.2419395723
18	0.2383008982
19	0.2346935962
20	0.2314316972
21	0.2288211891
22	0.2257748618
23	0.2229938957
24	0.2204722769
25	0.2176205279
26	0.2156354144
27	0.2134428204
28	0.2110886893
29	0.2089680749
30	0.2070779775
31	0.2052352621
32	0.2036835363
33	0.20163202
34	0.2001377773
35	0.1991087047
36	0.1977326455
37	0.1963040878
38	0.1952395099
39	0.1940327312
40	0.192705486
41	0.1917628526
42	0.1905643797
43	0.1893683501
44	0.1884778058
45	0.1875396086
46	0.1866702819
47	0.1858630949
48	0.1851140248
49	0.1843844278
50	0.1835696564
51	0.1828678047
52	0.1821486551
53	0.1813477814
54	0.1806486293
55	0.1801444024
56	0.1796069434
57	0.1790310167
58	0.1784572817
59	0.1779126178
60	0.1774764991
61	0.1770335046
62	0.1765171571
63	0.1758784242
64	0.1753338548
65	0.1748999522
66	0.1744985923
67	0.1741168129
68	0.1737941733
69	0.1735189476
70	0.1732105779
71	0.1728383567
72	0.1725126979
73	0.1722106316
74	0.171696568
75	0.1713534159
76	0.1710784533
77	0.1706677374
78	0.1704177273
79	0.1700317409
80	0.1697974477
81	0.1695765717
82	0.1692880292
83	0.1690195132
84	0.1687270362
85	0.1685325919
86	0.1681910846
87	0.1679380195
88	0.1677451866
89	0.1674639186
90	0.167027638
91	0.1668203234
92	0.1665816814
93	0.1663610336
94	0.1660538849
95	0.1658706087
96	0.1656106682
97	0.1654306803
98	0.1652672042
99	0.1650074302
100	0.164792955
101	0.1646352446
102	0.1643958713
103	0.1642068918
104	0.1640200035
105	0.1638024986
106	0.1634449152
107	0.1633078539
108	0.1631383139
109	0.1629423045
110	0.1628083465
111	0.1625511125
112	0.1622568155
113	0.1620448865
114	0.161890598
115	0.1617098438
116	0.1615330685
117	0.1613654376
118	0.161214595
119	0.1610118817
120	0.1608955136
121	0.1607485129
122	0.1605513996
123	0.1604078474
124	0.1601938205
125	0.1600621573
126	0.1597445351
127	0.1596478747
128	0.1595402757
129	0.1593567375
130	0.1592566663
131	0.159125238
132	0.1589609436
133	0.1587909251
134	0.1586741811
135	0.1584782505
136	0.1583695726
137	0.1582110744
138	0.1580858033
139	0.1579200111
140	0.1577424486
141	0.1576123135
142	0.1574707026
143	0.1573152876
144	0.1571441123
145	0.1570102867
146	0.1568802272
147	0.1565613166
148	0.156418876
149	0.1563793092
150	0.1562856533
151	0.1561570164
152	0.1560395496
153	0.1559040517
154	0.1558072982
155	0.1556394788
156	0.1554938917
157	0.1552152449
158	0.155086922
159	0.1549620331
160	0.1548423568
161	0.1547366657
162	0.15464158
163	0.1543704153
164	0.1542809467
165	0.1541436393
166	0.153872825
167	0.1537618647
168	0.1536799738
169	0.1536012661
170	0.153507272
171	0.1533991505
172	0.153295006
173	0.153204517
174	0.1531076346
175	0.1529234905
176	0.1528145029
177	0.152697131
178	0.1524596
179	0.1523609032
180	0.15231263
181	0.1521338036
182	0.1519542125
183	0.1518737578
184	0.1517536307
185	0.1517099181
186	0.1515945921
187	0.1515242771
188	0.1514654258
189	0.1513133799
190	0.1512742606
191	0.1511091314
192	0.1508661047
193	0.1507774363
194	0.1507289586
195	0.1506322968
196	0.1505332421
197	0.150447676
198	0.150362953
199	0.1502422676
200	0.1501825155
201	0.150037494
202	0.1498175789
203	0.1496104767
204	0.1495737259
205	0.1494775167
206	0.149209906
207	0.1491331475
208	0.1490964306
209	0.1489823106
210	0.1488854944
211	0.1487673753
212	0.1486613904
213	0.1486129296
214	0.1484880787
215	0.1484187048
216	0.1482947154
217	0.1481753225
218	0.1479670936
219	0.147952777
220	0.1478468607
221	0.147720523
222	0.14762184
223	0.1475766218
224	0.1474728667
225	0.1473755683
226	0.1473157793
227	0.1472560704
228	0.1472153921
229	0.1471891872
230	0.1470765497
231	0.1469168061
232	0.1468445889
233	0.1467707984
234	0.1466780589
235	0.1465873235
236	0.1464973955
237	0.1464011963
238	0.1461963568
239	0.1460795635
240	0.1460015161
241	0.1458332191
242	0.1457537565
243	0.1456939296
244	0.145503634
245	0.1453996685
246	0.1453899035
247	0.1452906822
248	0.1451832218
249	0.1450819383
250	0.1450456104
251	0.1450007546
252	0.1449746311
253	0.1449226911
254	0.1448847393
255	0.1448533824
256	0.1446554088
257	0.1444609768
258	0.1443629142
259	0.1442670592
260	0.1441937578
261	0.1440888451
262	0.1440075692
263	0.1439546477
264	0.1438857402
265	0.1438100809
266	0.1437804401
267	0.1435959692
268	0.1435046119
269	0.1433538022
270	0.143181271
271	0.1431300149
272	0.142968883
273	0.1429446179
274	0.1428758058
275	0.1427903698
276	0.1426577771
277	0.1426190906
278	0.1425577749
279	0.142476121
280	0.1423924516
281	0.1423441681
282	0.1422076742
283	0.1420233514
284	0.1418506994
285	0.1417210536
286	0.14160489
287	0.1414189558
288	0.141280709
289	0.1411872998
290	0.1410314221
291	0.1409575882
292	0.140882674
293	0.1407834184
294	0.1406245001
295	0.1405996895
296	0.1404711127
297	0.1403763207
298	0.1402684351
299	0.1401793962
300	0.1400406668
301	0.1399678764
302	0.1398791887
303	0.1397300094
304	0.1395895469
305	0.1394549095
306	0.1394272006
307	0.1392790715
308	0.1392032643
309	0.1391286045
310	0.1390742464
311	0.1389965489
312	0.1388853144
313	0.1387285936
314	0.1386613633
315	0.138530997
316	0.1384528809
317	0.1383847359
318	0.1383248431
319	0.1382791788
320	0.1381505034
321	0.1380611089
322	0.1379897889
323	0.1378953785
324	0.1377875316
325	0.1376834459
326	0.1375730227
327	0.1374736664
328	0.1373643444
329	0.1372338661
330	0.1371403869
331	0.1370759059
332	0.1370225878
333	0.1369372524
334	0.1368290399
335	0.1367012848
336	0.1366189643
337	0.1365355687
338	0.1364353043
339	0.1363676869
340	0.1362487081
341	0.1361970035
342	0.1361032258
343	0.1359780573
344	0.1359588528
345	0.1359505808
346	0.1358431053
347	0.1357485686
348	0.1356547899
349	0.1356089578
350	0.1354853908
351	0.1353885657
352	0.1352851142
353	0.1351895328
354	0.1351771784
355	0.135084224
356	0.1350065303
357	0.1349131541
358	0.1348649417
359	0.134800311
360	0.134782046
361	0.1346737616
362	0.134565902
363	0.1344429091
364	0.1343525623
365	0.1342589562
366	0.1341686605
367	0.1340847898
368	0.1339522948
369	0.1338762266
370	0.1337808445
371	0.1337714005
372	0.1337325698
373	0.1336235576
374	0.1335300639
375	0.1334753204
376	0.13336165
377	0.1333258355
378	0.13326482
379	0.1332527441
380	0.1331681921
381	0.1330386236
382	0.1329428605
383	0.1328544909
384	0.1327299634
385	0.1326354626
386	0.1325796893
387	0.1325722833
388	0.1325548062
389	0.1324998774
390	0.1324000321
391	0.1323127775
392	0.132264084
393	0.1322432159
394	0.1321813714
395	0.132089737
396	0.1320535268
397	0.1319703297
398	0.1318902594
399	0.1317688266
400	0.1317004261
401	0.1316144337
402	0.1315134346
403	0.131501815
404	0.1314261815
405	0.1312325821
406	0.1311821966
407	0.1310870708
408	0.1310146807
409	0.130897207
410	0.1307938661
411	0.1307303707
412	0.1306395368
413	0.1305489872
414	0.1304926397
415	0.1304542899
416	0.1303819368
417	0.1303538011
418	0.1303006525
419	0.1302099222
420	0.1301057542
421	0.1300139355
422	0.1299467461
423	0.1299195221
424	0.1298333331
425	0.1297157412
426	0.129656011
427	0.1295661879
428	0.1295174174
429	0.1294479101
430	0.1293191174
431	0.1292187064
432	0.1291493348
433	0.1290704615
434	0.1290016007
435	0.1289206339
436	0.1288581712
437	0.1287757335
438	0.1287148977
439	0.128672544
440	0.1285969494
441	0.1284991293
442	0.1284229639
443	0.1283984585
444	0.1282753948
445	0.128170695
446	0.128101545
447	0.1279828206
448	0.1279777839
449	0.1279177259
450	0.1278603573
451	0.1278014358
452	0.1277137764
453	0.1277053993
454	0.1276240654
455	0.1275096368
456	0.1274545275
457	0.1274506322
458	0.1273793118
459	0.1273307817
460	0.127244574
461	0.127164607
462	0.1271585706
463	0.1270397433
464	0.1269540403
465	0.1268820093
466	0.1268788257
467	0.1268203492
468	0.1268144857
469	0.1267534509
470	0.1267083903
471	0.1265984842
472	0.1265400874
473	0.1264429672
474	0.1264387386
475	0.1263681042
476	0.126282914
477	0.1262280894
478	0.1261229785
479	0.1260282144
480	0.1259037276
481	0.1258996761
482	0.1258401593
483	0.1257970152
484	0.1257122368
485	0.1257065665
486	0.1256558249
487	0.125559868
488	0.1254787073
489	0.1254761309
490	0.1254075771
491	0.1254048463
492	0.125366604
493	0.1253084673
494	0.1252524611
495	0.1252498841
496	0.1251597715
497	0.1251573053
498	0.125053054
499	0.1250500491
500	0.1249685485
501	0.1249235321
502	0.1248603992
503	0.1248148227
504	0.1247344246
505	0.1246512051
506	0.1246236033
507	0.1246212562
508	0.1245572872
509	0.124479476
510	0.1244741471
511	0.1244014014
512	0.1243082806
513	0.1242403803
514	0.1241306392
515	0.1240774706
516	0.1240215347
517	0.1240193294
518	0.1239424759
519	0.1238649832
520	0.123793596
521	0.1237392268
522	0.1236642288
523	0.1236103426
524	0.1235114962
525	0.1234468823
526	0.1233463334
527	0.1232909437
528	0.1232889054
529	0.1232853298
530	0.1231938424
531	0.1231230937
532	0.1230620909
533	0.1230091223
534	0.1230067932
535	0.1229243036
536	0.1228371773
537	0.1227694441
538	0.1226842713
539	0.1226212686
540	0.1225635112
541	0.122534753
542	0.1224455041
543	0.1223495232
544	0.1223046228
545	0.1222562004
546	0.1222031305
547	0.122136022
548	0.1220673579
549	0.1220654716
550	0.1219908199
551	0.1219350487
552	0.1218625851
553	0.121817813
554	0.1217884013
555	0.1217118675
556	0.1216446085
557	0.1215680311
558	0.1214952862
559	0.1214244371
560	0.1213767509
561	0.1212979684
562	0.1212032972
563	0.1211325665
564	0.1210698533
565	0.1209942043
566	0.1209267869
567	0.1208576041
568	0.1207995835
569	0.1207963066
570	0.1207542445
571	0.1206793048
572	0.1206362046
573	0.1206344785
574	0.1205831456
575	0.1205329324
576	0.120464007
577	0.1203979153
578	0.1203543211
579	0.1202959021
580	0.1202285087
581	0.1202269191
582	0.1201616858
583	0.1200802779
584	0.1200503951
585	0.1200009459
586	0.119954775
587	0.1199531378
588	0.1198989759
589	0.1198960905
590	0.119837621
591	0.1197818974
592	0.1197274351
593	0.1196873313
594	0.1196857544
595	0.1196004995
596	0.1195964024
597	0.1195619725
598	0.1194999804
599	0.1194986028
600	0.1194548526
601	0.1194249921
602	0.1193413675
603	0.1192998197
604	0.1192451727
605	0.1192000198
606	0.1191432252
607	0.1190732492
608	0.1190565932
609	0.1190087279
610	0.1190073114
611	0.1189572368
612	0.1188934606
613	0.1188076261
614	0.1187439235
615	0.1186922049
616	0.1186328986
617	0.1186005475
618	0.1185426054
619	0.118491785
620	0.1183988364
621	0.1182624383
622	0.1181974153
623	0.1181322654
624	0.1180785645
625	0.1180772275
626	0.1180118789
627	0.1179434713
628	0.1179055003
629	0.1178734577
630	0.1178285196
631	0.1178268268
632	0.1177723302
633	0.1177134781
634	0.1176462984
635	0.1176112966
636	0.117551972
637	0.1175507337
638	0.1175093512
639	0.1174342099
640	0.1174322266
641	0.1173684159
642	0.1172612724
643	0.117184935
644	0.1171838864
645	0.1171372343
646	0.1171361665
647	0.1170642331
648	0.1170626689
649	0.1170105438
650	0.1169797002
651	0.1169538989
652	0.1169057188
653	0.1169045887
654	0.1169029967
655	0.116833071
656	0.1168038067
657	0.1167392264
658	0.1167382123
659	0.1166525891
660	0.116597303
661	0.1165180841
662	0.1164751319
663	0.1164328749
664	0.1164318362
665	0.1163989922
666	0.1163977634
667	0.1163687805
668	0.1162633107
669	0.1162052526
670	0.1161294915
671	0.1160837419
672	0.1160827855
673	0.1160515344
674	0.1159990648
675	0.1159168252
676	0.1158562808
677	0.1157729736
678	0.1156957531
679	0.115655457
680	0.1156142033
681	0.1155398354
682	0.1154798413
683	0.1154483217
684	0.1153972085
685	0.1153764919
686	0.1153091128
687	0.1152394954
688	0.1151802119
689	0.1151200606
690	0.115068772
691	0.1150060877
692	0.114930397
693	0.1148665773
694	0.1148393391
695	0.114838302
696	0.1148372269
697	0.1147965872
698	0.1147652192
699	0.1147109023
700	0.1146620668
701	0.1146436542
702	0.1145935838
703	0.1145373173
704	0.114488629
705	0.114430975
706	0.1143815921
707	0.1143314703
708	0.1142752193
709	0.1142385098
710	0.1141904688
711	0.1141589337
712	0.1141533203
713	0.1141523517
714	0.1141453506
715	0.1140838279
716	0.1140359291
717	0.1140056722
718	0.1139818387
719	0.1139336278
720	0.1138778552
721	0.1138764821
722	0.1138344722
723	0.1138040828
724	0.1137534118
725	0.1136868731
726	0.1136490273
