iter	Passed	Remaining
0	0	473
1	0	438
2	1	440
3	1	447
4	2	445
5	2	446
6	3	454
7	3	452
8	4	454
9	4	441
10	4	441
11	5	441
12	5	441
13	6	442
14	6	443
15	7	436
16	7	434
17	7	431
18	8	421
19	8	413
20	8	409
21	9	405
22	9	404
23	9	403
24	10	402
25	10	401
26	11	397
27	11	396
28	11	392
29	12	390
30	12	390
31	12	389
32	13	384
33	13	382
34	13	381
35	14	375
36	14	371
37	14	371
38	15	372
39	15	372
40	15	371
41	16	371
42	16	368
43	16	367
44	17	367
45	17	367
46	18	367
47	18	367
48	18	367
49	19	364
50	19	364
51	19	361
52	20	363
53	20	365
54	21	366
55	21	367
56	22	366
57	22	367
58	23	368
59	23	369
60	24	371
61	24	372
62	25	372
63	25	373
64	26	374
65	26	375
66	26	375
67	27	374
68	27	373
69	28	373
70	28	373
71	28	373
72	29	373
73	29	372
74	30	373
75	30	374
76	31	374
77	31	374
78	32	374
79	32	373
80	32	372
81	33	371
82	33	371
83	33	369
84	34	368
85	34	368
86	35	367
87	35	367
88	35	367
89	36	367
90	36	366
91	37	366
92	37	364
93	37	364
94	38	364
95	38	363
96	39	363
97	39	363
98	39	361
99	40	361
100	40	361
101	40	360
102	41	359
103	41	360
104	42	359
105	42	357
106	42	357
107	43	356
108	43	356
109	44	356
110	44	354
111	44	354
112	45	353
113	45	351
114	45	351
115	46	351
116	46	351
117	46	350
118	47	350
119	47	350
120	48	350
121	48	349
122	48	349
123	49	349
124	49	348
125	50	348
126	50	348
127	51	348
128	51	348
129	52	348
130	52	348
131	53	348
132	53	348
133	53	348
134	54	348
135	54	347
136	55	347
137	55	347
138	56	347
139	56	347
140	57	347
141	57	347
142	57	347
143	58	346
144	58	346
145	59	347
146	59	347
147	60	347
148	60	347
149	61	346
150	61	345
151	61	345
152	62	345
153	62	344
154	63	343
155	63	343
156	63	343
157	64	342
158	64	341
159	65	341
160	65	340
161	65	340
162	66	340
163	66	340
164	67	340
165	67	340
166	68	339
167	68	339
168	68	338
169	69	338
170	69	338
171	70	337
172	70	337
173	71	337
174	71	336
175	71	336
176	72	336
177	72	335
178	73	335
179	73	334
180	74	334
181	74	334
182	74	334
183	75	333
184	75	332
185	75	332
186	76	331
187	76	331
188	77	331
189	77	331
190	78	331
191	78	331
192	79	330
193	79	330
194	79	329
195	80	329
196	80	329
197	81	328
198	81	328
199	82	328
200	82	327
201	82	327
202	83	327
203	83	326
204	84	326
205	84	325
206	84	325
207	85	325
208	85	324
209	86	324
210	86	324
211	87	324
212	87	324
213	88	324
214	88	323
215	89	323
216	89	323
217	90	323
218	90	323
219	91	322
220	91	322
221	91	322
222	92	321
223	92	321
224	93	321
225	93	320
226	94	320
227	94	320
228	94	319
229	95	319
230	95	319
231	96	318
232	96	318
233	97	317
234	97	317
235	97	317
236	98	316
237	98	316
238	99	316
239	99	316
240	100	315
241	100	315
242	101	315
243	101	314
244	102	314
245	102	314
246	103	314
247	103	314
248	104	313
249	104	313
250	105	313
251	105	313
252	105	312
253	106	312
254	106	312
255	107	311
256	107	311
