지역구,동이름,평균평당전세가(만원)
광산구,도산동,461.0
광산구,비아동,1275.0
광산구,송정1동,465.0
광산구,수완동,1099.0
광산구,신가동,470.0
광산구,신흥동,277.0
광산구,어룡동,602.0
광산구,우산동,363.0
광산구,운남동,319.0
광산구,월곡2동,1049.0
광산구,첨단1동,1009.0
남구,대촌동,585.0
남구,방림1동,426.0
남구,백운1동,613.0
남구,봉선1동,711.0
남구,사직동,599.0
남구,송암동,386.0
남구,양림동,632.0
남구,월산동,771.0
남구,주월1동,592.0
남구,진월동,1252.0
동구,계림1동,697.0
동구,동명동,730.0
동구,산수1동,632.0
동구,서남동,1153.0
동구,지산1동,790.0
동구,지원1동,564.0
동구,충장동,724.0
동구,학운동,286.0
북구,건국동,363.0
북구,동림동,374.0
북구,두암1동,474.0
북구,매곡동,1256.0
북구,문화동,660.0
북구,삼각동,473.0
북구,신안동,1022.0
북구,신용동,140.0
북구,양산동,757.0
북구,오치1동,546.0
북구,용봉동,624.0
북구,우산동,388.0
북구,운암1동,578.0
북구,일곡동,587.0
북구,임동,232.0
북구,중앙동,907.0
북구,중흥동,845.0
북구,풍향동,418.0
서구,광천동,378.0
서구,금호1동,521.0
서구,농성1동,555.0
서구,서창동,929.0
서구,양동,550.0
서구,유덕동,955.0
서구,화정1동,974.0
