지역구,동이름,평균평당전세가(만원)
광산구,도산동,340.0
광산구,송정1동,987.0
광산구,어룡동,1409.0
광산구,우산동,796.0
광산구,임곡동,750.0
광산구,첨단1동,1053.0
광산구,평동,552.0
광산구,하남동,1128.0
남구,백운1동,724.0
남구,봉선1동,932.0
남구,사직동,679.0
남구,월산동,994.0
남구,주월1동,984.0
남구,진월동,1080.0
동구,계림1동,1022.0
동구,동명동,1067.0
동구,산수1동,500.0
동구,서남동,1438.0
동구,지산1동,746.0
동구,지원1동,977.0
동구,충장동,1168.0
북구,건국동,1036.0
북구,동림동,866.0
북구,문화동,996.0
북구,신안동,1102.0
북구,신용동,1289.0
북구,양산동,883.0
북구,오치1동,700.0
북구,용봉동,684.0
북구,우산동,755.0
북구,운암1동,766.0
북구,임동,818.0
북구,중앙동,902.0
북구,중흥동,646.0
서구,광천동,1103.0
서구,금호1동,830.0
서구,농성1동,1053.0
서구,유덕동,1014.0
서구,풍암동,1014.0
서구,화정1동,882.0
