지역구,동이름,평균평당전세가(만원)
광산구,도산동,641.0
광산구,동곡동,559.0
광산구,본량동,626.0
광산구,비아동,749.0
광산구,삼도동,605.0
광산구,송정1동,551.0
광산구,수완동,862.0
광산구,신가동,651.0
광산구,신흥동,379.0
광산구,어룡동,684.0
광산구,우산동,518.0
광산구,운남동,504.0
광산구,월곡1동,664.0
광산구,월곡2동,956.0
광산구,임곡동,650.0
광산구,첨단1동,619.0
광산구,첨단2동,697.0
광산구,평동,853.0
광산구,하남동,1003.0
남구,대촌동,454.0
남구,방림1동,448.0
남구,백운1동,663.0
남구,봉선1동,593.0
남구,사직동,661.0
남구,송암동,931.0
남구,양림동,591.0
남구,월산동,730.0
남구,주월1동,529.0
남구,진월동,719.0
남구,효덕동,590.0
동구,계림1동,551.0
동구,동명동,748.0
동구,산수1동,489.0
동구,서남동,837.0
동구,지산1동,739.0
동구,지원1동,552.0
동구,지원2동,717.0
동구,충장동,827.0
동구,학운동,732.0
북구,건국동,669.0
북구,동림동,499.0
북구,두암1동,504.0
북구,매곡동,649.0
북구,문화동,577.0
북구,삼각동,451.0
북구,석곡동,425.0
북구,신안동,707.0
북구,신용동,797.0
북구,양산동,626.0
북구,오치1동,469.0
북구,용봉동,837.0
북구,우산동,480.0
북구,운암1동,583.0
북구,일곡동,509.0
북구,임동,313.0
북구,중앙동,643.0
북구,중흥동,674.0
북구,풍향동,396.0
서구,광천동,333.0
서구,금호1동,595.0
서구,농성1동,651.0
서구,동천동,658.0
서구,서창동,657.0
서구,양동,489.0
서구,유덕동,834.0
서구,풍암동,598.0
서구,화정1동,694.0
